Date,Experiment Day,Treatment,Replicate,Nb of M,Nb of F,Nb of PF,Total Copepods
02/07/2025,1,SS+DM,6,10,1,9,20
03/07/2025,2,Control,1,10,0,8,18
03/07/2025,2,Control,2,10,2,8,20
03/07/2025,2,Control,3,10,1,9,20
03/07/2025,2,Control,4,10,1,9,20
03/07/2025,2,Control,5,9,3,7,19
03/07/2025,2,Control,6,10,3,7,20
03/07/2025,2,DM,1,9,0,8,17
03/07/2025,2,DM,2,9,3,7,19
03/07/2025,2,DM,3,10,2,8,20
03/07/2025,2,DM,4,10,3,7,20
03/07/2025,2,DM,5,10,4,6,20
03/07/2025,2,DM,6,10,1,9,20
03/07/2025,2,SS,1,10,3,7,20
03/07/2025,2,SS,2,10,3,7,20
03/07/2025,2,SS,3,10,2,7,19
03/07/2025,2,SS,4,10,3,7,20
03/07/2025,2,SS,5,10,2,8,20
03/07/2025,2,SS,6,9,1,9,19
03/07/2025,2,SS+DM,1,10,0,10,20
03/07/2025,2,SS+DM,2,10,1,9,20
03/07/2025,2,SS+DM,3,10,1,9,20
03/07/2025,2,SS+DM,4,10,6,4,20
03/07/2025,2,SS+DM,5,10,2,8,20
03/07/2025,2,SS+DM,6,10,2,8,20
04/07/2025,3,Control,1,10,0,8,18
04/07/2025,3,Control,2,10,7,3,20
04/07/2025,3,Control,3,10,3,7,20
04/07/2025,3,Control,4,10,3,7,20
04/07/2025,3,Control,5,9,2,7,18
04/07/2025,3,Control,6,10,1,9,20
04/07/2025,3,DM,1,9,0,8,17
04/07/2025,3,DM,2,9,0,10,19
04/07/2025,3,DM,3,10,2,8,20
04/07/2025,3,DM,4,9,1,9,19
04/07/2025,3,DM,5,10,0,10,20
04/07/2025,3,DM,6,10,0,10,20
04/07/2025,3,SS,1,10,3,7,20
04/07/2025,3,SS,2,10,8,2,20
04/07/2025,3,SS,3,10,5,4,19
04/07/2025,3,SS,4,10,5,5,20
04/07/2025,3,SS,5,10,3,7,20
04/07/2025,3,SS,6,9,3,7,19
04/07/2025,3,SS+DM,1,10,2,8,20
04/07/2025,3,SS+DM,2,10,2,8,20
04/07/2025,3,SS+DM,3,10,1,9,20
04/07/2025,3,SS+DM,4,10,4,6,20
04/07/2025,3,SS+DM,5,10,1,9,20
04/07/2025,3,SS+DM,6,9,2,8,19
07/07/2025,6,Control,1,10,1,5,16
07/07/2025,6,Control,2,10,1,9,20
07/07/2025,6,Control,3,10,6,4,20
07/07/2025,6,Control,4,10,1,9,20
07/07/2025,6,Control,5,8,4,5,17
07/07/2025,6,Control,6,10,3,7,20
07/07/2025,6,DM,1,5,2,4,11
07/07/2025,6,DM,2,9,2,8,19
07/07/2025,6,DM,3,10,3,7,20
07/07/2025,6,DM,4,8,3,6,17
07/07/2025,6,DM,5,10,1,9,20
07/07/2025,6,DM,6,10,1,9,20
